unique_id,category,variation,filename paste,file,inches,inch_variance,radius_max,servings_min,servings_max,scale_min,scale_max,rotate_min,rotate_max,center_x,center_y,pie_count
5215,topping-pepper,jalapenopeppers,5215-topping-pepper-jalapenopeppers,Y,3,,,,,,,,,,,
5250,topping-pepper,ghost peppers,5250-topping-pepper-ghost peppers,Y,3,,,,,,,,,,,
5251,topping-pepper,ghost peppers,5251-topping-pepper-ghost peppers,Y,3,,,,,,,,,,,
5252,topping-pepper,ghost peppers,5252-topping-pepper-ghost peppers,Y,3,,,,,,,,,,,
5253,topping-pepper,ghost peppers,5253-topping-pepper-ghost peppers,Y,3,,,,,,,,,,,
5260,topping-pepper,,5260-topping-pepper-,N,,,,,,,,,,,,
5270,topping-pepper,,5270-topping-pepper-,N,,,,,,,,,,,,
5280,topping-pepper,,5280-topping-pepper-,N,,,,,,,,,,,,
5290,topping-pepper,,5290-topping-pepper-,N,,,,,,,,,,,,
5300,topping-pepper,,5300-topping-pepper-,N,,,,,,,,,,,,
5310,topping-pepper,,5310-topping-pepper-,N,,,,,,,,,,,,
5400,topping-fungi,mushrooms,5400-topping-fungi-mushrooms,Y,1.5,,,,,,,,,,,
5410,topping-fungi,truffles,5410-topping-fungi-truffles,Y,2,,,,,,,,,,,
5420,topping-fungi,magicmushroom,5420-topping-fungi-magicmushroom,Y,4,,,,,,,,,,,
5421,topping-fungi,magicmushroom,5421-topping-fungi-magicmushroom,Y,4,,,,,,,,,,,
5422,topping-fungi,magicmushroom,5422-topping-fungi-magicmushroom,Y,4,,,,,,,,,,,
5430,topping-fungi,spaceshroom,5430-topping-fungi-spaceshroom,Y,2,,,,,,,,,,,
5431,topping-fungi,spaceshroom,5431-topping-fungi-spaceshroom,Y,2,,,,,,,,,,,
5440,topping-fungi,porcini,5440-topping-fungi-porcini,Y,2,,,,,,,,,,,
5441,topping-fungi,porcini,5441-topping-fungi-porcini,Y,2,,,,,,,,,,,
5450,topping-fungi,trufflepig,5450-topping-fungi-trufflepig,Y,3,,,,,,,,,,,
5451,topping-fungi,trufflepig,5451-topping-fungi-trufflepig,Y,3,,,,,,,,,,,
5460,topping-fungi,psilocybin,5460-topping-fungi-psilocybin,Y,4,,,,,,,,,,,
5500,topping-nut,pistachios,5500-topping-nut-pistachios,Y,0.5,,,,,,,,,,,
5501,topping-nut,pistachios,5501-topping-nut-pistachios,Y,0.5,,,,,,,,,,,
5510,topping-nut,pinenuts,5510-topping-nut-pinenuts,Y,0.25,,,,,,,,,,,
5520,topping-nut,peanuts,5520-topping-nut-peanuts,Y,1,,,,,,,,,,,
